START TRAINING
EPOCH 1
LOSS: 0.40447898209095
EPOCH 2
LOSS: 0.39247888177633283
EPOCH 3
LOSS: 0.3772814989089966
EPOCH 4
LOSS: 0.3752053216099739
EPOCH 5
LOSS: 0.3686263717710972
EPOCH 6
LOSS: 0.37325581833720206
EPOCH 7
LOSS: 0.3692395932972431
EPOCH 8
LOSS: 0.3533480688929558
EPOCH 9
LOSS: 0.35662508457899095
EPOCH 10
LOSS: 0.3567560911178589
EPOCH 11
LOSS: 0.3605958126485348
EPOCH 12
LOSS: 0.349756520986557
EPOCH 13
LOSS: 0.3521678753197193
TRAINING FINISHED
