START TRAINING
EPOCH 1
LOSS: 0.17933722101151944
EPOCH 2
LOSS: 0.161523262783885
EPOCH 3
LOSS: 0.14535213597118854
EPOCH 4
LOSS: 0.1530881218612194
EPOCH 5
LOSS: 0.1503244113177061
EPOCH 6
LOSS: 0.1335639113560319
EPOCH 7
LOSS: 0.13754386845976113
EPOCH 8
LOSS: 0.14414550606161355
EPOCH 9
LOSS: 0.1419791566208005
EPOCH 10
LOSS: 0.1385873212479055
EPOCH 11
LOSS: 0.13092414187267423
EPOCH 12
LOSS: 0.13903837641701103
EPOCH 13
LOSS: 0.12476548030972481
TRAINING FINISHED
